Date,portfolio value,running max,drawdown
2016-01-05,0.999172944486428,0.999172944486428,0.0
2016-01-06,0.9944912513906615,0.999172944486428,-0.004685568320880495
2016-01-07,0.9777212937759877,0.999172944486428,-0.021469407101957102
2016-01-08,0.9701970786635759,0.999172944486428,-0.028999850308942938
2016-01-11,0.9675416066051402,0.999172944486428,-0.03165752040808733
2016-01-12,0.9765519976205139,0.999172944486428,-0.022639671130748235
2016-01-13,0.9672477319234132,0.999172944486428,-0.03195163834167298
2016-01-14,0.9785587217454541,0.999172944486428,-0.020631285959779023
2016-01-15,0.967894269201291,0.999172944486428,-0.03130456589896377
2016-01-19,0.9669225825313127,0.999172944486428,-0.032277056872963984
2016-01-20,0.9564241740610155,0.999172944486428,-0.042784155296944335
2016-01-21,0.9570222782562398,0.999172944486428,-0.0421855560268934
2016-01-22,0.9754396925477683,0.999172944486428,-0.023752896903006655
2016-01-25,0.9660942692721328,0.999172944486428,-0.03310605576024433
2016-01-26,0.983124425869355,0.999172944486428,-0.016061802619487368
2016-01-27,0.9730155433787712,0.999172944486428,-0.02617905263748077
2016-01-28,0.9781721382106107,0.999172944486428,-0.021018189485316485
2016-01-29,0.9965875850473176,0.999172944486428,-0.0025874994447926043
2016-02-01,0.9925904008952765,0.999172944486428,-0.006587992226445764
2016-02-02,0.9808136293431955,0.999172944486428,-0.018374511884595872
2016-02-03,0.9931594594706116,0.999172944486428,-0.006018462618508308
2016-02-04,0.9998911396620354,0.9998911396620354,0.0
2016-02-05,0.9909899942306173,0.9998911396620354,-0.008902114518613164
2016-02-08,0.9964447627743914,0.9998911396620354,-0.0034467521022426622
2016-02-09,0.9968550406060578,0.9998911396620354,-0.0030364296027303294
2016-02-10,0.9927712353191739,0.9998911396620354,-0.007120679502438645
2016-02-11,0.990733054978587,0.9998911396620354,-0.009159081744182482
2016-02-12,1.005614670115784,1.005614670115784,0.0
2016-02-16,1.0096604792380381,1.0096604792380381,0.0
2016-02-17,1.0163805239653343,1.0163805239653343,0.0
2016-02-18,1.01923456491737,1.01923456491737,0.0
2016-02-19,1.0196175501397837,1.0196175501397837,0.0
2016-02-22,1.0229443853960758,1.0229443853960758,0.0
2016-02-23,1.012177590048403,1.0229443853960758,-0.010525298834798405
2016-02-24,1.0170148036469526,1.0229443853960758,-0.005796582721187998
2016-02-25,1.0253960500666628,1.0253960500666628,0.0
2016-02-26,1.0202847630799181,1.0253960500666628,-0.004984695412482216
2016-02-29,1.0152574097112936,1.0253960500666628,-0.00988753599617438
2016-03-01,1.0325139256927165,1.0325139256927165,0.0
2016-03-02,1.0384012553579118,1.0384012553579118,0.0
2016-03-03,1.0426454793912112,1.0426454793912112,0.0
2016-03-04,1.0442507385051945,1.0442507385051945,0.0
2016-03-07,1.0467207237614,1.0467207237614,0.0
2016-03-08,1.039970789679994,1.0467207237614,-0.0064486485536946
2016-03-09,1.0414467561947935,1.0467207237614,-0.005038562289714134
2016-03-10,1.0432867143812774,1.0467207237614,-0.0032807312420284115
2016-03-11,1.0464992471341232,1.0467207237614,-0.00021159094517676704
2016-03-14,1.045452695509684,1.0467207237614,-0.0012114293936585625
2016-03-15,1.0488924059851024,1.0488924059851024,0.0
2016-03-16,1.0531889961365004,1.0531889961365004,0.0
2016-03-17,1.0567118621038631,1.0567118621038631,0.0
2016-03-18,1.0617913179544045,1.0617913179544045,0.0
2016-03-21,1.05899241521143,1.0617913179544045,-0.0026360196167046096
2016-03-22,1.060232599963782,1.0617913179544045,-0.0014680078507567857
2016-03-23,1.0571496666730014,1.0617913179544045,-0.004371528757972449
2016-03-24,1.055718468032422,1.0617913179544045,-0.005719438291963135
2016-03-28,1.0564155050600657,1.0617913179544045,-0.005062965578486402
2016-03-29,1.0673281008047013,1.0673281008047013,0.0
2016-03-30,1.0685857557335592,1.0685857557335592,0.0
2016-03-31,1.065063482612486,1.0685857557335592,-0.003296200704692304
2016-04-01,1.0696744486966072,1.0696744486966072,0.0
2016-04-04,1.0690465030739267,1.0696744486966072,-0.000587043678051472
2016-04-05,1.0653295677415615,1.0696744486966072,-0.004061872245653731
2016-04-06,1.070294794796784,1.070294794796784,0.0
2016-04-07,1.063253243068664,1.070294794796784,-0.006579076869617876
2016-04-08,1.066301019815152,1.070294794796784,-0.003731471928152663
2016-04-11,1.0679152404509602,1.070294794796784,-0.002223270034939882
2016-04-12,1.0755007325469073,1.0755007325469073,0.0
2016-04-13,1.0828758637825613,1.0828758637825613,0.0
2016-04-14,1.0824693757209352,1.0828758637825613,-0.0003753782637709183
2016-04-15,1.0806297896448935,1.0828758637825613,-0.0020741750857961303
2016-04-18,1.0813066499097415,1.0828758637825613,-0.0014491170459173927
2016-04-19,1.0889065445371733,1.0889065445371733,0.0
2016-04-20,1.0846074615761472,1.0889065445371733,-0.003948073397660931
2016-04-21,1.07856903103259,1.0889065445371733,-0.009493480920327443
2016-04-22,1.0804815984080585,1.0889065445371733,-0.007737069972975267
2016-04-25,1.0789661649862463,1.0889065445371733,-0.00912877197845478
2016-04-26,1.0780609366707148,1.0889065445371733,-0.009960090625654465
2016-04-27,1.0735790542877843,1.0889065445371733,-0.01407603832145551
2016-04-28,1.069133962097433,1.0889065445371733,-0.01815819965352898
2016-04-29,1.0695734136180644,1.0889065445371733,-0.01775462827007459
2016-05-02,1.0723926222471531,1.0889065445371733,-0.015165601100358138
2016-05-03,1.0702070268647852,1.0889065445371733,-0.017172747988520993
2016-05-04,1.0654719223197453,1.0889065445371733,-0.021521242878918122
2016-05-05,1.066100890443671,1.0889065445371733,-0.020943628457293813
2016-05-06,1.068585938869471,1.0889065445371733,-0.01866147813110937
2016-05-09,1.066643693502131,1.0889065445371733,-0.02044514393519857
2016-05-10,1.0761440714697195,1.0889065445371733,-0.011720448491636492
2016-05-11,1.0732519581836233,1.0889065445371733,-0.01437642783220096
2016-05-12,1.0706178528571537,1.0889065445371733,-0.01679546492926347
2016-05-13,1.0666942396334933,1.0889065445371733,-0.020398724771298952
2016-05-16,1.0761063712273589,1.0889065445371733,-0.011755070601816416
2016-05-17,1.0716392730307582,1.0889065445371733,-0.01585744120378512
2016-05-18,1.0727915789617222,1.0889065445371733,-0.014799218221523856
2016-05-19,1.0705631339014148,1.0889065445371733,-0.01684571621667969
2016-05-20,1.072073017612314,1.0889065445371733,-0.015459110801849451
2016-05-23,1.072686856064655,1.0889065445371733,-0.014895390751290137
2016-05-24,1.0777876441695018,1.0889065445371733,-0.010211069465467716
2016-05-25,1.0839441626869002,1.0889065445371733,-0.004557215561949158
2016-05-26,1.0840004328982527,1.0889065445371733,-0.0045055396751297085
2016-05-27,1.0848034698742213,1.0889065445371733,-0.003768068695643641
2016-05-31,1.0819112589491298,1.0889065445371733,-0.006424137703219318
2016-06-01,1.0823170582507053,1.0889065445371733,-0.006051470917799213
2016-06-02,1.0836545933506398,1.0889065445371733,-0.004823142273211069
2016-06-03,1.0878503790069909,1.0889065445371733,-0.0009699322090412325
2016-06-06,1.0935955672500541,1.0935955672500541,0.0
2016-06-07,1.096016880641345,1.096016880641345,0.0
2016-06-08,1.1004012907551879,1.1004012907551879,0.0
2016-06-09,1.1036761043742829,1.1036761043742829,0.0
2016-06-10,1.1001758018701893,1.1036761043742829,-0.0031714943272039666
2016-06-13,1.0965498079585898,1.1036761043742829,-0.006456872978810431
2016-06-14,1.0938174344016796,1.1036761043742829,-0.00893257535750725
2016-06-15,1.0931464951798011,1.1036761043742829,-0.009540488511755364
2016-06-16,1.096697273626757,1.1036761043742829,-0.006323259804091149
2016-06-17,1.0904159324411409,1.1036761043742829,-0.012014550175170917
2016-06-20,1.091320884454096,1.1036761043742829,-0.011194606706821384
2016-06-21,1.0915316604822067,1.1036761043742829,-0.011003630362153486
2016-06-22,1.0895449974083076,1.1036761043742829,-0.012803672118992538
2016-06-23,1.0952499735970875,1.1036761043742829,-0.0076346047031365626
2016-06-24,1.078236892045813,1.1036761043742829,-0.02304952714627485
2016-06-27,1.0732657874922238,1.1036761043742829,-0.02755366068136438
2016-06-28,1.0874865542344465,1.1036761043742829,-0.01466875116320005
2016-06-29,1.0987181560617048,1.1036761043742829,-0.004492213152869677
2016-06-30,1.1125602465874225,1.1125602465874225,0.0
2016-07-01,1.1159289157212953,1.1159289157212953,0.0
2016-07-05,1.1134870531821173,1.1159289157212953,-0.0021881882481731975
2016-07-06,1.1191829180081079,1.1191829180081079,0.0
2016-07-07,1.1176822973635323,1.1191829180081079,-0.0013408180382580646
2016-07-08,1.1277499630619165,1.1277499630619165,0.0
2016-07-11,1.128331726288884,1.128331726288884,0.0
2016-07-12,1.1290612746848745,1.1290612746848745,0.0
2016-07-13,1.1316006466543642,1.1316006466543642,0.0
2016-07-14,1.1343522626002003,1.1343522626002003,0.0
2016-07-15,1.1323763516812542,1.1343522626002003,-0.0017418847602215398
2016-07-18,1.1335809798955143,1.1343522626002003,-0.0006799322662944229
2016-07-19,1.1361661557557503,1.1361661557557503,0.0
2016-07-20,1.1329228057626997,1.1361661557557503,-0.002854644082311403
2016-07-21,1.1332532469972645,1.1361661557557503,-0.002563805253069015
2016-07-22,1.1340483590720114,1.1361661557557503,-0.0018639850104760396
2016-07-25,1.1266088183504472,1.1361661557557503,-0.008411918764598087
2016-07-26,1.1242334479881606,1.1361661557557503,-0.010502608009523353
2016-07-27,1.1316531658136895,1.1361661557557503,-0.003972121435934614
2016-07-28,1.1319090620653776,1.1361661557557503,-0.0037468935936936375
2016-07-29,1.133166167536302,1.1361661557557503,-0.002640448498003997
2016-08-01,1.1285884794280294,1.1361661557557503,-0.0066695142161494825
2016-08-02,1.1265371291851913,1.1361661557557503,-0.008475016195279975
