Date,GLD,TLT,SPY,JPM,XOM,AAPL,JNJ,KO
2016-01-05,0.0028185529910356166,-0.00403428952520557,0.0016912637010007003,0.001728818744236582,0.008520872715572336,-0.025059211695457217,0.00417999963948068,0.00353754932076078
2016-01-06,0.01444076235086822,0.013475399773122954,-0.012614073615458521,-0.01443593834033896,-0.008320726926632771,-0.019569840603559596,-0.005054700936413581,-0.005405428268631884
2016-01-07,0.014139709399294542,0.0017946872454801532,-0.02399176253810109,-0.04043961246627703,-0.01600617330591192,-0.04220443170855992,-0.01165440680103258,-0.016540816390346547
2016-01-08,-0.004427708091822691,0.004478680283319658,-0.010976749374544625,-0.02239886826489379,-0.020202313145009976,0.005287745218130135,-0.010683311017252284,-0.00264279210709506
2016-01-11,-0.008894799760520322,-0.010943853052282293,0.00099031442129216,-0.0015276082928528112,-0.01338844316984611,0.01619184276984864,-0.006010379774522678,0.0016865751436749843
2016-01-12,-0.005060137388834041,0.014425246267017355,0.008068056728512074,0.0022099021802364227,0.02049108787438536,0.014513628175659932,0.006866649319795748,0.012986888162020094
2016-01-13,0.004893984653210337,0.009856944887196128,-0.024940372940156164,-0.027476499805611843,0.005984325692382608,-0.025710536969797193,-0.01241844871001696,-0.006410761115686059
2016-01-14,-0.016233809757639994,-0.009360667597101857,0.016416687002814623,0.014998162386045122,0.04586909871244638,0.02187085334287553,0.019274091145597527,0.0007175421279315142
2016-01-15,0.010289314914859293,0.015587221938609064,-0.021465907512426385,-0.019931247507588012,-0.019463932558089647,-0.024015231501691048,-0.019111819413597964,-0.009073376080296791
2016-01-19,-0.0009607847075502329,-0.003101526800456167,0.0013312611121127915,-0.0005257504239601918,-0.015210202833080166,-0.00483879116342778,0.005154286615848935,0.010120162621577666
2016-01-20,0.013367949074563734,0.010529695767476088,-0.01281514422727581,-0.026311244175735382,-0.042146754539454157,0.001345105660193413,-0.01794843589637085,-0.01288155664117585
2016-01-21,0.001138797703897465,-0.006789066036434144,0.005601871684186355,-0.00468369518951961,0.012571649667562301,-0.005062697929922533,0.00198420710994629,0.00024176927523145153
2016-01-22,-0.004644969889963435,-0.0038145542051531978,0.020515580315792592,0.030769378032304395,0.03333354085774265,0.05316708580581442,0.008442722709664174,0.016187208496250882
2016-01-25,0.010285731724330116,0.005425201658068923,-0.015117002944702862,-0.022651653180654874,-0.03382512435356533,-0.019522858869077453,-0.003617661068584077,0.002377535645258
2016-01-26,0.011406476843766944,0.00047587985862618254,0.013643275273476974,0.02551177152094497,0.03676636487955376,0.0055311203397305775,0.04958527203789864,-0.001897429214119617
