,annual return,annual volatility,sharpe ratio,beta
GLD,0.13198703216681373,0.16244939780040973,0.8124808953061002,0.0696387044963705
TLT,-0.00784706832395543,0.14746892873359482,-0.05321167239324899,-0.12917139291220733
SPY,0.15149372898524538,0.1780860620979747,0.8506770670345922,0.9999999999999998
JPM,0.2068388893599591,0.27404051851300903,0.7547748430863526,1.0797773413184353
XOM,0.11462036067476133,0.2795235665399019,0.4100561612517895,0.7633911037269465
AAPL,0.2828957221849058,0.28916276434426275,0.9783269392462449,1.2037771021442756
JNJ,0.12315077456086687,0.1848317540914444,0.6662858076861553,0.44427653299330555
KO,0.09863598075543112,0.18169485331619947,0.5428661239169892,0.501945935592595
