Date,GLD,TLT,SPY,JPM,XOM,AAPL,JNJ,KO
2016-01-04,102.88999938964844,90.64976501464844,169.4715576171875,48.18408203125,49.319610595703125,23.709104537963867,75.33753967285156,30.555973052978516
2016-01-05,103.18000030517578,90.2840576171875,169.7581787109375,48.26738357543945,49.7398567199707,23.114973068237305,75.65245056152344,30.664066314697266
2016-01-06,104.66999816894531,91.50067138671875,167.61683654785156,47.57059860229492,49.325984954833984,22.662616729736328,75.27005004882812,30.498313903808594
2016-01-07,106.1500015258789,91.66488647460938,163.5954132080078,45.6468620300293,48.53646469116211,21.706153869628906,74.392822265625,29.993846893310547
2016-01-08,105.68000030517578,92.07542419433594,161.79966735839844,44.62442398071289,47.55591583251953,21.82093048095703,73.59806060791016,29.914579391479492
2016-01-11,104.73999786376953,91.06776428222656,161.95989990234375,44.55625534057617,46.91921615600586,22.174251556396484,73.15570831298828,29.96503257751465
2016-01-12,104.20999908447266,92.38143920898438,163.2666015625,44.654720306396484,47.88064193725586,22.49608039855957,73.65804290771484,30.354185104370117
2016-01-13,104.72000122070312,93.29203796386719,159.19467163085938,43.427764892578125,48.16717529296875,21.917694091796875,72.74332427978516,30.159591674804688
2016-01-14,103.0199966430664,92.41876220703125,161.80812072753906,44.0791015625,50.37656021118164,22.397052764892578,74.1453857421875,30.181232452392578
2016-01-15,104.08000183105469,93.85931396484375,158.3347625732422,43.2005500793457,49.396034240722656,21.859182357788086,72.72833251953125,29.907386779785156
2016-01-19,103.9800033569336,93.56820678710938,158.54554748535156,43.17783737182617,48.644710540771484,21.75341033935547,73.10319519042969,30.210054397583008
2016-01-20,105.37000274658203,94.55345153808594,156.51376342773438,42.04177474975586,46.5944938659668,21.782670974731445,71.79110717773438,29.82090187072754
2016-01-21,105.48999786376953,93.9115219116211,157.39053344726562,41.84486389160156,47.18026351928711,21.672391891479492,71.93355560302734,29.82811164855957
2016-01-22,105.0,93.55329132080078,160.61949157714844,43.13240432739258,48.75294876098633,22.824649810791016,72.5408706665039,30.310945510864258
2016-01-25,106.08000183105469,94.06083679199219,158.19140625,42.1553840637207,47.10387420654297,22.379047393798828,72.2784423828125,30.383010864257812
2016-01-26,107.29000091552734,94.10559844970703,160.3496551513672,43.23084259033203,48.83571243286133,22.50282859802246,75.86238861083984,30.325361251831055
2016-01-27,107.69000244140625,94.0832290649414,158.60455322265625,43.2005500793457,47.937957763671875,21.024246215820312,76.5971908569336,30.332571029663086
2016-01-28,106.54000091552734,94.21759033203125,159.43075561523438,43.382328033447266,49.02035140991211,21.175025939941406,76.67962646484375,30.678470611572266
2016-01-29,106.94999694824219,95.01618194580078,163.3172607421875,45.063690185546875,49.567935943603516,21.906448364257812,78.306640625,30.930706024169922
